Epoch 1: duration loss = 0.749 | prior loss = 3.385 | diffusion loss = 0.188
Epoch 2: duration loss = 0.632 | prior loss = 1.532 | diffusion loss = 0.140
Epoch 3: duration loss = 0.548 | prior loss = 1.453 | diffusion loss = 0.138
Epoch 4: duration loss = 0.516 | prior loss = 1.428 | diffusion loss = 0.131
Epoch 5: duration loss = 0.501 | prior loss = 1.416 | diffusion loss = 0.126
Epoch 6: duration loss = 0.488 | prior loss = 1.406 | diffusion loss = 0.126
Epoch 7: duration loss = 0.480 | prior loss = 1.398 | diffusion loss = 0.127
Epoch 8: duration loss = 0.474 | prior loss = 1.393 | diffusion loss = 0.124
Epoch 9: duration loss = 0.469 | prior loss = 1.388 | diffusion loss = 0.123
Epoch 10: duration loss = 0.466 | prior loss = 1.386 | diffusion loss = 0.123
Epoch 11: duration loss = 0.461 | prior loss = 1.381 | diffusion loss = 0.122
Epoch 12: duration loss = 0.458 | prior loss = 1.377 | diffusion loss = 0.126
Epoch 13: duration loss = 0.455 | prior loss = 1.375 | diffusion loss = 0.125
Epoch 14: duration loss = 0.453 | prior loss = 1.372 | diffusion loss = 0.125
Epoch 15: duration loss = 0.449 | prior loss = 1.369 | diffusion loss = 0.125
Epoch 16: duration loss = 0.445 | prior loss = 1.367 | diffusion loss = 0.121
Epoch 17: duration loss = 0.443 | prior loss = 1.364 | diffusion loss = 0.122
Epoch 18: duration loss = 0.441 | prior loss = 1.363 | diffusion loss = 0.120
Epoch 19: duration loss = 0.439 | prior loss = 1.361 | diffusion loss = 0.119
Epoch 20: duration loss = 0.437 | prior loss = 1.359 | diffusion loss = 0.120
Epoch 21: duration loss = 0.435 | prior loss = 1.357 | diffusion loss = 0.120
Epoch 22: duration loss = 0.433 | prior loss = 1.355 | diffusion loss = 0.121
Epoch 23: duration loss = 0.432 | prior loss = 1.353 | diffusion loss = 0.122
Epoch 24: duration loss = 0.432 | prior loss = 1.353 | diffusion loss = 0.119
Epoch 25: duration loss = 0.431 | prior loss = 1.352 | diffusion loss = 0.120
Epoch 26: duration loss = 0.428 | prior loss = 1.350 | diffusion loss = 0.120
Epoch 27: duration loss = 0.427 | prior loss = 1.348 | diffusion loss = 0.120
Epoch 28: duration loss = 0.425 | prior loss = 1.347 | diffusion loss = 0.120
Epoch 29: duration loss = 0.425 | prior loss = 1.346 | diffusion loss = 0.119
Epoch 30: duration loss = 0.424 | prior loss = 1.344 | diffusion loss = 0.119
Epoch 31: duration loss = 0.423 | prior loss = 1.344 | diffusion loss = 0.119
Epoch 32: duration loss = 0.422 | prior loss = 1.342 | diffusion loss = 0.115
Epoch 33: duration loss = 0.421 | prior loss = 1.342 | diffusion loss = 0.121
Epoch 34: duration loss = 0.420 | prior loss = 1.340 | diffusion loss = 0.119
Epoch 35: duration loss = 0.419 | prior loss = 1.338 | diffusion loss = 0.121
Epoch 36: duration loss = 0.417 | prior loss = 1.338 | diffusion loss = 0.116
Epoch 37: duration loss = 0.417 | prior loss = 1.338 | diffusion loss = 0.119
Epoch 38: duration loss = 0.416 | prior loss = 1.336 | diffusion loss = 0.118
Epoch 39: duration loss = 0.415 | prior loss = 1.335 | diffusion loss = 0.116
Epoch 40: duration loss = 0.414 | prior loss = 1.333 | diffusion loss = 0.120
Epoch 41: duration loss = 0.414 | prior loss = 1.334 | diffusion loss = 0.118
Epoch 42: duration loss = 0.413 | prior loss = 1.332 | diffusion loss = 0.117
Epoch 43: duration loss = 0.412 | prior loss = 1.332 | diffusion loss = 0.118
Epoch 44: duration loss = 0.410 | prior loss = 1.331 | diffusion loss = 0.115
Epoch 45: duration loss = 0.411 | prior loss = 1.330 | diffusion loss = 0.117
Epoch 46: duration loss = 0.410 | prior loss = 1.329 | diffusion loss = 0.115
Epoch 47: duration loss = 0.409 | prior loss = 1.329 | diffusion loss = 0.120
Epoch 48: duration loss = 0.408 | prior loss = 1.328 | diffusion loss = 0.115
Epoch 49: duration loss = 0.408 | prior loss = 1.326 | diffusion loss = 0.117
Epoch 50: duration loss = 0.406 | prior loss = 1.326 | diffusion loss = 0.118
Epoch 51: duration loss = 0.406 | prior loss = 1.325 | diffusion loss = 0.120
Epoch 52: duration loss = 0.405 | prior loss = 1.325 | diffusion loss = 0.118
Epoch 53: duration loss = 0.404 | prior loss = 1.323 | diffusion loss = 0.117
Epoch 54: duration loss = 0.403 | prior loss = 1.323 | diffusion loss = 0.117
Epoch 55: duration loss = 0.403 | prior loss = 1.321 | diffusion loss = 0.114
Epoch 56: duration loss = 0.402 | prior loss = 1.321 | diffusion loss = 0.115
Epoch 57: duration loss = 0.401 | prior loss = 1.320 | diffusion loss = 0.114
Epoch 58: duration loss = 0.400 | prior loss = 1.320 | diffusion loss = 0.115
Epoch 59: duration loss = 0.401 | prior loss = 1.320 | diffusion loss = 0.118
Epoch 60: duration loss = 0.399 | prior loss = 1.319 | diffusion loss = 0.113
Epoch 61: duration loss = 0.399 | prior loss = 1.318 | diffusion loss = 0.115
Epoch 62: duration loss = 0.398 | prior loss = 1.316 | diffusion loss = 0.113
Epoch 63: duration loss = 0.397 | prior loss = 1.317 | diffusion loss = 0.116
Epoch 64: duration loss = 0.396 | prior loss = 1.316 | diffusion loss = 0.116
Epoch 65: duration loss = 0.395 | prior loss = 1.316 | diffusion loss = 0.116
Epoch 66: duration loss = 0.395 | prior loss = 1.315 | diffusion loss = 0.111
Epoch 67: duration loss = 0.394 | prior loss = 1.314 | diffusion loss = 0.114
Epoch 68: duration loss = 0.393 | prior loss = 1.313 | diffusion loss = 0.116
Epoch 69: duration loss = 0.392 | prior loss = 1.312 | diffusion loss = 0.116
Epoch 70: duration loss = 0.391 | prior loss = 1.312 | diffusion loss = 0.115
Epoch 71: duration loss = 0.391 | prior loss = 1.311 | diffusion loss = 0.114
Epoch 72: duration loss = 0.390 | prior loss = 1.311 | diffusion loss = 0.114
Epoch 73: duration loss = 0.390 | prior loss = 1.310 | diffusion loss = 0.113
Epoch 74: duration loss = 0.389 | prior loss = 1.310 | diffusion loss = 0.117
Epoch 75: duration loss = 0.389 | prior loss = 1.309 | diffusion loss = 0.114
Epoch 76: duration loss = 0.387 | prior loss = 1.308 | diffusion loss = 0.115
Epoch 77: duration loss = 0.387 | prior loss = 1.308 | diffusion loss = 0.115
Epoch 78: duration loss = 0.387 | prior loss = 1.307 | diffusion loss = 0.114
Epoch 79: duration loss = 0.386 | prior loss = 1.307 | diffusion loss = 0.114
